Parameters;F1-Score
Grocery_VAE_2000_6000_1_OCSVM_RBF_0,03_scale;0.8577
Grocery_VAE_2000_6000_1_OCSVM_RBF_0,04_scale;0.8719
Grocery_VAE_2000_6000_1_OCSVM_RBF_0,05_scale;0.8783
Grocery_VAE_2000_6000_1_OCSVM_RBF_0,06_scale;0.8851
Grocery_VAE_2000_6000_1_OCSVM_RBF_0,07_scale;0.8880
Grocery_VAE_2000_6000_1_OCSVM_RBF_0,08_scale;0.8894
Grocery_VAE_2000_6000_1_OCSVM_RBF_0,09_scale;0.8906
Grocery_VAE_2000_6000_1_OCSVM_RBF_0,1_scale;0.8896
Grocery_VAE_2000_6000_1_OCSVM_RBF_0,2_scale;0.8631
Grocery_VAE_2000_6000_1_OCSVM_RBF_0,3_scale;0.8118
Grocery_VAE_2000_6000_1_OCSVM_RBF_0,4_scale;0.7493
Grocery_VAE_2000_6000_1_OCSVM_RBF_0,5_scale;0.6748
Grocery_VAE_2000_6000_1_OCSVM_RBF_0,6_scale;0.5832
Grocery_VAE_2000_6000_1_OCSVM_RBF_0,7_scale;0.4746
Grocery_VAE_2000_6000_1_OCSVM_RBF_0,8_scale;0.3475
Grocery_VAE_2000_6000_1_OCSVM_RBF_0,9_scale;0.1905
Grocery_VAE_2000_6000_2_OCSVM_RBF_0,0001_scale;0.7053
Grocery_VAE_2000_6000_2_OCSVM_RBF_0,0005_scale;0.7065
Grocery_VAE_2000_6000_2_OCSVM_RBF_0,001_scale;0.7066
Grocery_VAE_2000_6000_2_OCSVM_RBF_0,005_scale;0.7803
Grocery_VAE_2000_6000_2_OCSVM_RBF_0,01_scale;0.8303
Grocery_VAE_2000_6000_2_OCSVM_RBF_0,02_scale;0.8853
Grocery_VAE_2000_6000_2_OCSVM_RBF_0,03_scale;0.9096
Grocery_VAE_2000_6000_2_OCSVM_RBF_0,04_scale;0.9239
Grocery_VAE_2000_6000_2_OCSVM_RBF_0,05_scale;0.9287
Grocery_VAE_2000_6000_2_OCSVM_RBF_0,06_scale;0.9320
Grocery_VAE_2000_6000_2_OCSVM_RBF_0,07_scale;0.9327
Grocery_VAE_2000_6000_2_OCSVM_RBF_0,08_scale;0.9319
Grocery_VAE_2000_6000_2_OCSVM_RBF_0,09_scale;0.9305
Grocery_VAE_2000_6000_2_OCSVM_RBF_0,1_scale;0.9301
Grocery_VAE_2000_6000_2_OCSVM_RBF_0,2_scale;0.8908
Grocery_VAE_2000_6000_2_OCSVM_RBF_0,3_scale;0.8310
Grocery_VAE_2000_6000_2_OCSVM_RBF_0,4_scale;0.7596
Grocery_VAE_2000_6000_2_OCSVM_RBF_0,5_scale;0.6764
Grocery_VAE_2000_6000_2_OCSVM_RBF_0,6_scale;0.5795
Grocery_VAE_2000_6000_2_OCSVM_RBF_0,7_scale;0.4653
Grocery_VAE_2000_6000_2_OCSVM_RBF_0,8_scale;0.3387
Grocery_VAE_2000_6000_2_OCSVM_RBF_0,9_scale;0.1862
Grocery_VAE_2000_6000_3_OCSVM_RBF_0,0001_scale;0.7001
Grocery_VAE_2000_6000_3_OCSVM_RBF_0,0005_scale;0.7016
Grocery_VAE_2000_6000_3_OCSVM_RBF_0,001_scale;0.7015
Grocery_VAE_2000_6000_3_OCSVM_RBF_0,005_scale;0.7843
Grocery_VAE_2000_6000_3_OCSVM_RBF_0,01_scale;0.8422
Grocery_VAE_2000_6000_3_OCSVM_RBF_0,02_scale;0.8997
Grocery_VAE_2000_6000_3_OCSVM_RBF_0,03_scale;0.9177
Grocery_VAE_2000_6000_3_OCSVM_RBF_0,04_scale;0.9295
Grocery_VAE_2000_6000_3_OCSVM_RBF_0,05_scale;0.9344
Grocery_VAE_2000_6000_3_OCSVM_RBF_0,06_scale;0.9371
Grocery_VAE_2000_6000_3_OCSVM_RBF_0,07_scale;0.9371
Grocery_VAE_2000_6000_3_OCSVM_RBF_0,08_scale;0.9365
Grocery_VAE_2000_6000_3_OCSVM_RBF_0,09_scale;0.9340
Grocery_VAE_2000_6000_3_OCSVM_RBF_0,1_scale;0.9312
Grocery_VAE_2000_6000_3_OCSVM_RBF_0,2_scale;0.8884
Grocery_VAE_2000_6000_3_OCSVM_RBF_0,3_scale;0.8254
Grocery_VAE_2000_6000_3_OCSVM_RBF_0,4_scale;0.7527
Grocery_VAE_2000_6000_3_OCSVM_RBF_0,5_scale;0.6684
Grocery_VAE_2000_6000_3_OCSVM_RBF_0,6_scale;0.5625
Grocery_VAE_2000_6000_3_OCSVM_RBF_0,7_scale;0.4487
Grocery_VAE_2000_6000_3_OCSVM_RBF_0,8_scale;0.3244
Grocery_VAE_2000_6000_3_OCSVM_RBF_0,9_scale;0.1769
