Parameters;Precisao;Revocacao;F1-Score;Tempo
Rivers_VAE_2000_6000_7_OCSVM_RBF_0,001_scale;0.5476;0.9985;0.7064;0.0039
Rivers_VAE_2000_6000_7_OCSVM_RBF_0,005_scale;0.6962;0.9954;0.8176;0.0070
Rivers_VAE_2000_6000_7_OCSVM_RBF_0,01_scale;0.9546;0.9914;0.9726;0.0095
Rivers_VAE_2000_6000_7_OCSVM_RBF_0,02_scale;0.9814;0.9815;0.9815;0.0161
Rivers_VAE_2000_6000_7_OCSVM_RBF_0,03_scale;0.9880;0.9702;0.9790;0.0220
Rivers_VAE_2000_6000_7_OCSVM_RBF_0,04_scale;0.9903;0.9612;0.9755;0.0291
Rivers_VAE_2000_6000_7_OCSVM_RBF_0,05_scale;0.9915;0.9518;0.9712;0.0344
Rivers_VAE_2000_6000_7_OCSVM_RBF_0,06_scale;0.9925;0.9430;0.9671;0.0438
Rivers_VAE_2000_6000_7_OCSVM_RBF_0,07_scale;0.9931;0.9343;0.9628;0.0483
Rivers_VAE_2000_6000_7_OCSVM_RBF_0,08_scale;0.9940;0.9248;0.9581;0.0535
Rivers_VAE_2000_6000_7_OCSVM_RBF_0,09_scale;0.9945;0.9141;0.9526;0.0596
Rivers_VAE_2000_6000_7_OCSVM_RBF_0,1_scale;0.9948;0.9034;0.9469;0.0688
Rivers_VAE_2000_6000_7_OCSVM_RBF_0,2_scale;0.9965;0.7898;0.8811;0.1280
Rivers_VAE_2000_6000_7_OCSVM_RBF_0,3_scale;0.9972;0.6863;0.8130;0.1857
Rivers_VAE_2000_6000_7_OCSVM_RBF_0,4_scale;0.9974;0.5792;0.7328;0.2433
Rivers_VAE_2000_6000_7_OCSVM_RBF_0,5_scale;0.9979;0.4822;0.6502;0.2941
Rivers_VAE_2000_6000_7_OCSVM_RBF_0,6_scale;0.9977;0.3872;0.5578;0.3689
Rivers_VAE_2000_6000_7_OCSVM_RBF_0,7_scale;0.9980;0.2901;0.4494;0.4095
Rivers_VAE_2000_6000_7_OCSVM_RBF_0,8_scale;0.9982;0.1970;0.3289;0.4595
Rivers_VAE_2000_6000_7_OCSVM_RBF_0,9_scale;0.9988;0.1019;0.1848;0.4899
Rivers_VAE_2000_6000_3_OCSVM_RBF_0,0001_scale;0.5373;0.9902;0.6954;0.0053
