Parameters;F1-Score
Dance_VAE_2000_6000_5_OCSVM_RBF_0,01_scale;0.8585
Dance_VAE_2000_6000_5_OCSVM_RBF_0,02_scale;0.9320
Dance_VAE_2000_6000_5_OCSVM_RBF_0,03_scale;0.9691
Dance_VAE_2000_6000_5_OCSVM_RBF_0,04_scale;0.9702
Dance_VAE_2000_6000_5_OCSVM_RBF_0,05_scale;0.9651
Dance_VAE_2000_6000_5_OCSVM_RBF_0,06_scale;0.9612
Dance_VAE_2000_6000_5_OCSVM_RBF_0,07_scale;0.9569
Dance_VAE_2000_6000_5_OCSVM_RBF_0,08_scale;0.9510
Dance_VAE_2000_6000_5_OCSVM_RBF_0,09_scale;0.9455
Dance_VAE_2000_6000_5_OCSVM_RBF_0,1_scale;0.9389
Dance_VAE_2000_6000_5_OCSVM_RBF_0,2_scale;0.8738
Dance_VAE_2000_6000_5_OCSVM_RBF_0,3_scale;0.8070
Dance_VAE_2000_6000_5_OCSVM_RBF_0,4_scale;0.7290
Dance_VAE_2000_6000_5_OCSVM_RBF_0,5_scale;0.6431
Dance_VAE_2000_6000_5_OCSVM_RBF_0,6_scale;0.5462
Dance_VAE_2000_6000_5_OCSVM_RBF_0,7_scale;0.4450
Dance_VAE_2000_6000_5_OCSVM_RBF_0,8_scale;0.3245
Dance_VAE_2000_6000_5_OCSVM_RBF_0,9_scale;0.1769
Dance_VAE_2000_6000_1_OCSVM_RBF_0,0001_scale;0.6971
Dance_VAE_2000_6000_1_OCSVM_RBF_0,0005_scale;0.6933
Dance_VAE_2000_6000_1_OCSVM_RBF_0,001_scale;0.6943
Dance_VAE_2000_6000_1_OCSVM_RBF_0,005_scale;0.6996
Dance_VAE_2000_6000_1_OCSVM_RBF_0,01_scale;0.7127
Dance_VAE_2000_6000_1_OCSVM_RBF_0,02_scale;0.7871
Dance_VAE_2000_6000_1_OCSVM_RBF_0,03_scale;0.9133
Dance_VAE_2000_6000_1_OCSVM_RBF_0,04_scale;0.9498
Dance_VAE_2000_6000_1_OCSVM_RBF_0,05_scale;0.9535
Dance_VAE_2000_6000_1_OCSVM_RBF_0,06_scale;0.9519
Dance_VAE_2000_6000_1_OCSVM_RBF_0,07_scale;0.9487
Dance_VAE_2000_6000_1_OCSVM_RBF_0,08_scale;0.9450
Dance_VAE_2000_6000_1_OCSVM_RBF_0,09_scale;0.9402
Dance_VAE_2000_6000_1_OCSVM_RBF_0,1_scale;0.9352
Dance_VAE_2000_6000_1_OCSVM_RBF_0,2_scale;0.8790
Dance_VAE_2000_6000_1_OCSVM_RBF_0,3_scale;0.8117
Dance_VAE_2000_6000_1_OCSVM_RBF_0,4_scale;0.7308
Dance_VAE_2000_6000_1_OCSVM_RBF_0,5_scale;0.6458
Dance_VAE_2000_6000_1_OCSVM_RBF_0,6_scale;0.5517
Dance_VAE_2000_6000_1_OCSVM_RBF_0,7_scale;0.4471
Dance_VAE_2000_6000_1_OCSVM_RBF_0,8_scale;0.3162
Dance_VAE_2000_6000_1_OCSVM_RBF_0,9_scale;0.1697
Dance_VAE_2000_6000_2_OCSVM_RBF_0,0001_scale;0.7175
Dance_VAE_2000_6000_2_OCSVM_RBF_0,0005_scale;0.7115
Dance_VAE_2000_6000_2_OCSVM_RBF_0,001_scale;0.7132
Dance_VAE_2000_6000_2_OCSVM_RBF_0,005_scale;0.7184
Dance_VAE_2000_6000_2_OCSVM_RBF_0,01_scale;0.7369
Dance_VAE_2000_6000_2_OCSVM_RBF_0,02_scale;0.8009
Dance_VAE_2000_6000_2_OCSVM_RBF_0,03_scale;0.9330
Dance_VAE_2000_6000_2_OCSVM_RBF_0,04_scale;0.9675
Dance_VAE_2000_6000_2_OCSVM_RBF_0,05_scale;0.9669
Dance_VAE_2000_6000_2_OCSVM_RBF_0,06_scale;0.9636
Dance_VAE_2000_6000_2_OCSVM_RBF_0,07_scale;0.9591
Dance_VAE_2000_6000_2_OCSVM_RBF_0,08_scale;0.9540
Dance_VAE_2000_6000_2_OCSVM_RBF_0,09_scale;0.9488
Dance_VAE_2000_6000_2_OCSVM_RBF_0,1_scale;0.9429
Dance_VAE_2000_6000_2_OCSVM_RBF_0,2_scale;0.8775
Dance_VAE_2000_6000_2_OCSVM_RBF_0,3_scale;0.8098
Dance_VAE_2000_6000_2_OCSVM_RBF_0,4_scale;0.7384
Dance_VAE_2000_6000_2_OCSVM_RBF_0,5_scale;0.6557
Dance_VAE_2000_6000_2_OCSVM_RBF_0,6_scale;0.5545
