Parameters;F1-Score
Justice_VAE_2000_6000_3_OCSVM_RBF_0,2_scale;0.8579
Justice_VAE_2000_6000_3_OCSVM_RBF_0,3_scale;0.7979
Justice_VAE_2000_6000_3_OCSVM_RBF_0,4_scale;0.7315
Justice_VAE_2000_6000_3_OCSVM_RBF_0,5_scale;0.6609
Justice_VAE_2000_6000_3_OCSVM_RBF_0,6_scale;0.5803
Justice_VAE_2000_6000_3_OCSVM_RBF_0,7_scale;0.4718
Justice_VAE_2000_6000_3_OCSVM_RBF_0,8_scale;0.3432
Justice_VAE_2000_6000_3_OCSVM_RBF_0,9_scale;0.1865
Justice_VAE_2000_6000_4_OCSVM_RBF_0,0001_scale;0.7843
Justice_VAE_2000_6000_4_OCSVM_RBF_0,0005_scale;0.7775
Justice_VAE_2000_6000_4_OCSVM_RBF_0,001_scale;0.7759
Justice_VAE_2000_6000_4_OCSVM_RBF_0,005_scale;0.9194
Justice_VAE_2000_6000_4_OCSVM_RBF_0,01_scale;0.9268
Justice_VAE_2000_6000_4_OCSVM_RBF_0,02_scale;0.9308
Justice_VAE_2000_6000_4_OCSVM_RBF_0,03_scale;0.9316
Justice_VAE_2000_6000_4_OCSVM_RBF_0,04_scale;0.9302
Justice_VAE_2000_6000_4_OCSVM_RBF_0,05_scale;0.9283
Justice_VAE_2000_6000_4_OCSVM_RBF_0,06_scale;0.9253
Justice_VAE_2000_6000_4_OCSVM_RBF_0,07_scale;0.9226
Justice_VAE_2000_6000_4_OCSVM_RBF_0,08_scale;0.9192
Justice_VAE_2000_6000_4_OCSVM_RBF_0,09_scale;0.9148
Justice_VAE_2000_6000_4_OCSVM_RBF_0,1_scale;0.9099
Justice_VAE_2000_6000_4_OCSVM_RBF_0,2_scale;0.8594
Justice_VAE_2000_6000_4_OCSVM_RBF_0,3_scale;0.7964
Justice_VAE_2000_6000_4_OCSVM_RBF_0,4_scale;0.7291
Justice_VAE_2000_6000_4_OCSVM_RBF_0,5_scale;0.6568
Justice_VAE_2000_6000_4_OCSVM_RBF_0,6_scale;0.5748
Justice_VAE_2000_6000_4_OCSVM_RBF_0,7_scale;0.4730
Justice_VAE_2000_6000_4_OCSVM_RBF_0,8_scale;0.3513
Justice_VAE_2000_6000_4_OCSVM_RBF_0,9_scale;0.1987
Justice_VAE_2000_6000_5_OCSVM_RBF_0,0001_scale;0.6888
Justice_VAE_2000_6000_5_OCSVM_RBF_0,0005_scale;0.6887
Justice_VAE_2000_6000_5_OCSVM_RBF_0,001_scale;0.6888
Justice_VAE_2000_6000_5_OCSVM_RBF_0,005_scale;0.9277
Justice_VAE_2000_6000_5_OCSVM_RBF_0,01_scale;0.9338
Justice_VAE_2000_6000_5_OCSVM_RBF_0,02_scale;0.9375
Justice_VAE_2000_6000_5_OCSVM_RBF_0,03_scale;0.9377
Justice_VAE_2000_6000_5_OCSVM_RBF_0,04_scale;0.9355
Justice_VAE_2000_6000_5_OCSVM_RBF_0,05_scale;0.9331
Justice_VAE_2000_6000_5_OCSVM_RBF_0,06_scale;0.9290
Justice_VAE_2000_6000_5_OCSVM_RBF_0,07_scale;0.9255
Justice_VAE_2000_6000_5_OCSVM_RBF_0,08_scale;0.9203
Justice_VAE_2000_6000_5_OCSVM_RBF_0,09_scale;0.9165
Justice_VAE_2000_6000_5_OCSVM_RBF_0,1_scale;0.9111
Justice_VAE_2000_6000_5_OCSVM_RBF_0,2_scale;0.8577
Justice_VAE_2000_6000_5_OCSVM_RBF_0,3_scale;0.7977
Justice_VAE_2000_6000_5_OCSVM_RBF_0,4_scale;0.7296
Justice_VAE_2000_6000_5_OCSVM_RBF_0,5_scale;0.6584
Justice_VAE_2000_6000_5_OCSVM_RBF_0,6_scale;0.5739
