Parameters;F1-Score
Cafe_VAE_2000_6000_3_OCSVM_RBF_0,03_scale;0.9144
Cafe_VAE_2000_6000_3_OCSVM_RBF_0,04_scale;0.9653
Cafe_VAE_2000_6000_3_OCSVM_RBF_0,05_scale;0.9750
Cafe_VAE_2000_6000_3_OCSVM_RBF_0,06_scale;0.9717
Cafe_VAE_2000_6000_3_OCSVM_RBF_0,07_scale;0.9660
Cafe_VAE_2000_6000_3_OCSVM_RBF_0,08_scale;0.9610
Cafe_VAE_2000_6000_3_OCSVM_RBF_0,09_scale;0.9559
Cafe_VAE_2000_6000_3_OCSVM_RBF_0,1_scale;0.9504
Cafe_VAE_2000_6000_3_OCSVM_RBF_0,2_scale;0.8953
Cafe_VAE_2000_6000_3_OCSVM_RBF_0,3_scale;0.8404
Cafe_VAE_2000_6000_3_OCSVM_RBF_0,4_scale;0.7738
Cafe_VAE_2000_6000_3_OCSVM_RBF_0,5_scale;0.6891
Cafe_VAE_2000_6000_3_OCSVM_RBF_0,6_scale;0.5927
Cafe_VAE_2000_6000_3_OCSVM_RBF_0,7_scale;0.4747
Cafe_VAE_2000_6000_3_OCSVM_RBF_0,8_scale;0.3420
Cafe_VAE_2000_6000_3_OCSVM_RBF_0,9_scale;0.1874
