Parameters;Precisao;Revocacao;F1-Score;Tempo
Massacre_VAE_1651_4954_3_OCSVM_RBF_0,02_scale;0.8485;0.9847;0.9106;0.0120
Massacre_VAE_1651_4954_3_OCSVM_RBF_0,03_scale;0.8647;0.9790;0.9176;0.0162
Massacre_VAE_1651_4954_3_OCSVM_RBF_0,04_scale;0.8789;0.9721;0.9224;0.0206
Massacre_VAE_1651_4954_3_OCSVM_RBF_0,05_scale;0.8924;0.9631;0.9259;0.0252
Massacre_VAE_1651_4954_3_OCSVM_RBF_0,06_scale;0.9004;0.9551;0.9265;0.0286
Massacre_VAE_1651_4954_3_OCSVM_RBF_0,07_scale;0.9065;0.9472;0.9260;0.0351
Massacre_VAE_1651_4954_3_OCSVM_RBF_0,08_scale;0.9117;0.9397;0.9251;0.0403
Massacre_VAE_1651_4954_3_OCSVM_RBF_0,09_scale;0.9169;0.9306;0.9234;0.0421
Massacre_VAE_1651_4954_3_OCSVM_RBF_0,1_scale;0.9215;0.9210;0.9209;0.0459
Massacre_VAE_1651_4954_3_OCSVM_RBF_0,2_scale;0.9437;0.8336;0.8849;0.0881
Massacre_VAE_1651_4954_3_OCSVM_RBF_0,3_scale;0.9534;0.7458;0.8367;0.1305
Massacre_VAE_1651_4954_3_OCSVM_RBF_0,4_scale;0.9597;0.6474;0.7730;0.1704
Massacre_VAE_1651_4954_3_OCSVM_RBF_0,5_scale;0.9623;0.5379;0.6899;0.2097
Massacre_VAE_1651_4954_3_OCSVM_RBF_0,6_scale;0.9638;0.4289;0.5935;0.2477
Massacre_VAE_1651_4954_3_OCSVM_RBF_0,7_scale;0.9654;0.3221;0.4829;0.2816
Massacre_VAE_1651_4954_3_OCSVM_RBF_0,8_scale;0.9650;0.2143;0.3506;0.3131
Massacre_VAE_1651_4954_3_OCSVM_RBF_0,9_scale;0.9669;0.1065;0.1918;0.3341
Massacre_VAE_1651_4954_4_OCSVM_RBF_0,0001_scale;0.5627;0.9939;0.7165;0.0048
Massacre_VAE_1651_4954_4_OCSVM_RBF_0,0005_scale;0.5660;0.9940;0.7190;0.0046
Massacre_VAE_1651_4954_4_OCSVM_RBF_0,001_scale;0.5658;0.9945;0.7190;0.0045
Massacre_VAE_1651_4954_4_OCSVM_RBF_0,005_scale;0.6621;0.9919;0.7935;0.0061
Massacre_VAE_1651_4954_4_OCSVM_RBF_0,01_scale;0.8087;0.9868;0.8883;0.0081
Massacre_VAE_1651_4954_4_OCSVM_RBF_0,02_scale;0.8737;0.9784;0.9230;0.0125
Massacre_VAE_1651_4954_4_OCSVM_RBF_0,03_scale;0.8912;0.9690;0.9283;0.0164
Massacre_VAE_1651_4954_4_OCSVM_RBF_0,04_scale;0.9039;0.9595;0.9307;0.0210
Massacre_VAE_1651_4954_4_OCSVM_RBF_0,05_scale;0.9114;0.9521;0.9311;0.0248
Massacre_VAE_1651_4954_4_OCSVM_RBF_0,06_scale;0.9188;0.9425;0.9304;0.0291
Massacre_VAE_1651_4954_4_OCSVM_RBF_0,07_scale;0.9237;0.9334;0.9283;0.0356
Massacre_VAE_1651_4954_4_OCSVM_RBF_0,08_scale;0.9278;0.9251;0.9262;0.0388
Massacre_VAE_1651_4954_4_OCSVM_RBF_0,09_scale;0.9312;0.9165;0.9236;0.0429
Massacre_VAE_1651_4954_4_OCSVM_RBF_0,1_scale;0.9342;0.9089;0.9212;0.0459
Massacre_VAE_1651_4954_4_OCSVM_RBF_0,2_scale;0.9542;0.8152;0.8790;0.0890
Massacre_VAE_1651_4954_4_OCSVM_RBF_0,3_scale;0.9626;0.7229;0.8255;0.1317
Massacre_VAE_1651_4954_4_OCSVM_RBF_0,4_scale;0.9675;0.6287;0.7619;0.1720
Massacre_VAE_1651_4954_4_OCSVM_RBF_0,5_scale;0.9704;0.5297;0.6849;0.2071
Massacre_VAE_1651_4954_4_OCSVM_RBF_0,6_scale;0.9713;0.4311;0.5967;0.2420
Massacre_VAE_1651_4954_4_OCSVM_RBF_0,7_scale;0.9704;0.3268;0.4882;0.2773
Massacre_VAE_1651_4954_4_OCSVM_RBF_0,8_scale;0.9727;0.2204;0.3589;0.3165
Massacre_VAE_1651_4954_4_OCSVM_RBF_0,9_scale;0.9757;0.1104;0.1980;0.3333
Massacre_VAE_1651_4954_5_OCSVM_RBF_0,0001_scale;0.5739;0.9803;0.7212;0.0047
Massacre_VAE_1651_4954_5_OCSVM_RBF_0,0005_scale;0.5736;0.9876;0.7236;0.0048
Massacre_VAE_1651_4954_5_OCSVM_RBF_0,001_scale;0.5741;0.9946;0.7262;0.0049
Massacre_VAE_1651_4954_5_OCSVM_RBF_0,005_scale;0.6567;0.9945;0.7899;0.0063
Massacre_VAE_1651_4954_5_OCSVM_RBF_0,01_scale;0.8451;0.9873;0.9106;0.0089
Massacre_VAE_1651_4954_5_OCSVM_RBF_0,02_scale;0.8880;0.9794;0.9314;0.0129
Massacre_VAE_1651_4954_5_OCSVM_RBF_0,03_scale;0.9051;0.9714;0.9371;0.0164
Massacre_VAE_1651_4954_5_OCSVM_RBF_0,04_scale;0.9150;0.9623;0.9380;0.0209
Massacre_VAE_1651_4954_5_OCSVM_RBF_0,05_scale;0.9213;0.9549;0.9378;0.0271
Massacre_VAE_1651_4954_5_OCSVM_RBF_0,06_scale;0.9264;0.9456;0.9358;0.0296
Massacre_VAE_1651_4954_5_OCSVM_RBF_0,07_scale;0.9314;0.9360;0.9336;0.0354
Massacre_VAE_1651_4954_5_OCSVM_RBF_0,08_scale;0.9363;0.9279;0.9321;0.0413
Massacre_VAE_1651_4954_5_OCSVM_RBF_0,09_scale;0.9402;0.9180;0.9289;0.0426
Massacre_VAE_1651_4954_5_OCSVM_RBF_0,1_scale;0.9439;0.9088;0.9260;0.0487
Massacre_VAE_1651_4954_5_OCSVM_RBF_0,2_scale;0.9610;0.8100;0.8790;0.0898
Massacre_VAE_1651_4954_5_OCSVM_RBF_0,3_scale;0.9664;0.7050;0.8151;0.1329
Massacre_VAE_1651_4954_5_OCSVM_RBF_0,4_scale;0.9698;0.6064;0.7460;0.1695
Massacre_VAE_1651_4954_5_OCSVM_RBF_0,5_scale;0.9722;0.5086;0.6676;0.2088
Massacre_VAE_1651_4954_5_OCSVM_RBF_0,6_scale;0.9733;0.4148;0.5814;0.2439
Massacre_VAE_1651_4954_5_OCSVM_RBF_0,7_scale;0.9727;0.3154;0.4761;0.2822
Massacre_VAE_1651_4954_5_OCSVM_RBF_0,8_scale;0.9713;0.2138;0.3503;0.3068
Massacre_VAE_1651_4954_5_OCSVM_RBF_0,9_scale;0.9713;0.1093;0.1963;0.3381
Massacre_VAE_1651_4954_1_OCSVM_RBF_0,0001_scale;0.5531;0.9967;0.7106;0.0040
Massacre_VAE_1651_4954_1_OCSVM_RBF_0,0005_scale;0.5542;0.9971;0.7116;0.0039
Massacre_VAE_1651_4954_1_OCSVM_RBF_0,001_scale;0.5541;0.9971;0.7115;0.0039
Massacre_VAE_1651_4954_1_OCSVM_RBF_0,005_scale;0.6470;0.9942;0.7823;0.0054
Massacre_VAE_1651_4954_1_OCSVM_RBF_0,01_scale;0.7327;0.9893;0.8401;0.0078
Massacre_VAE_1651_4954_1_OCSVM_RBF_0,02_scale;0.7914;0.9828;0.8760;0.0123
Massacre_VAE_1651_4954_1_OCSVM_RBF_0,03_scale;0.8193;0.9761;0.8903;0.0163
Massacre_VAE_1651_4954_1_OCSVM_RBF_0,04_scale;0.8396;0.9686;0.8991;0.0207
Massacre_VAE_1651_4954_1_OCSVM_RBF_0,05_scale;0.8535;0.9605;0.9034;0.0251
Massacre_VAE_1651_4954_1_OCSVM_RBF_0,06_scale;0.8661;0.9524;0.9069;0.0289
Massacre_VAE_1651_4954_1_OCSVM_RBF_0,07_scale;0.8753;0.9449;0.9085;0.0332
Massacre_VAE_1651_4954_1_OCSVM_RBF_0,08_scale;0.8814;0.9372;0.9081;0.0414
Massacre_VAE_1651_4954_1_OCSVM_RBF_0,09_scale;0.8900;0.9275;0.9081;0.0436
Massacre_VAE_1651_4954_1_OCSVM_RBF_0,1_scale;0.8948;0.9191;0.9066;0.0494
Massacre_VAE_1651_4954_1_OCSVM_RBF_0,2_scale;0.9272;0.8289;0.8752;0.0977
Massacre_VAE_1651_4954_1_OCSVM_RBF_0,3_scale;0.9400;0.7453;0.8313;0.1424
Massacre_VAE_1651_4954_1_OCSVM_RBF_0,4_scale;0.9485;0.6520;0.7727;0.1854
Massacre_VAE_1651_4954_1_OCSVM_RBF_0,5_scale;0.9541;0.5518;0.6990;0.2240
Massacre_VAE_1651_4954_1_OCSVM_RBF_0,6_scale;0.9570;0.4470;0.6090;0.2615
