Parameters;F1-Score
Immigration_VAE_2000_6000_2_OCSVM_RBF_0,5_scale;0.7024
Immigration_VAE_2000_6000_2_OCSVM_RBF_0,6_scale;0.6125
Immigration_VAE_2000_6000_2_OCSVM_RBF_0,7_scale;0.5004
Immigration_VAE_2000_6000_2_OCSVM_RBF_0,8_scale;0.3661
Immigration_VAE_2000_6000_2_OCSVM_RBF_0,9_scale;0.1990
Immigration_VAE_2000_6000_3_OCSVM_RBF_0,0001_scale;0.9075
Immigration_VAE_2000_6000_3_OCSVM_RBF_0,0005_scale;0.9071
Immigration_VAE_2000_6000_3_OCSVM_RBF_0,001_scale;0.9071
Immigration_VAE_2000_6000_3_OCSVM_RBF_0,005_scale;0.9599
Immigration_VAE_2000_6000_3_OCSVM_RBF_0,01_scale;0.9734
Immigration_VAE_2000_6000_3_OCSVM_RBF_0,02_scale;0.9771
Immigration_VAE_2000_6000_3_OCSVM_RBF_0,03_scale;0.9755
Immigration_VAE_2000_6000_3_OCSVM_RBF_0,04_scale;0.9719
Immigration_VAE_2000_6000_3_OCSVM_RBF_0,05_scale;0.9684
Immigration_VAE_2000_6000_3_OCSVM_RBF_0,06_scale;0.9644
Immigration_VAE_2000_6000_3_OCSVM_RBF_0,07_scale;0.9595
Immigration_VAE_2000_6000_3_OCSVM_RBF_0,08_scale;0.9549
Immigration_VAE_2000_6000_3_OCSVM_RBF_0,09_scale;0.9498
Immigration_VAE_2000_6000_3_OCSVM_RBF_0,1_scale;0.9449
Immigration_VAE_2000_6000_3_OCSVM_RBF_0,2_scale;0.8942
Immigration_VAE_2000_6000_3_OCSVM_RBF_0,3_scale;0.8354
Immigration_VAE_2000_6000_3_OCSVM_RBF_0,4_scale;0.7719
Immigration_VAE_2000_6000_3_OCSVM_RBF_0,5_scale;0.6959
Immigration_VAE_2000_6000_3_OCSVM_RBF_0,6_scale;0.6077
Immigration_VAE_2000_6000_3_OCSVM_RBF_0,7_scale;0.4927
Immigration_VAE_2000_6000_3_OCSVM_RBF_0,8_scale;0.3623
Immigration_VAE_2000_6000_3_OCSVM_RBF_0,9_scale;0.2003
