Parameters;F1-Score
Investments_VAE_2000_6000_3_OCSVM_RBF_0,7_scale;0.4518
Investments_VAE_2000_6000_3_OCSVM_RBF_0,8_scale;0.3314
Investments_VAE_2000_6000_3_OCSVM_RBF_0,9_scale;0.1850
Investments_VAE_2000_6000_4_OCSVM_RBF_0,0001_scale;0.7088
Investments_VAE_2000_6000_4_OCSVM_RBF_0,0005_scale;0.7132
Investments_VAE_2000_6000_4_OCSVM_RBF_0,001_scale;0.7127
Investments_VAE_2000_6000_4_OCSVM_RBF_0,005_scale;0.9031
Investments_VAE_2000_6000_4_OCSVM_RBF_0,01_scale;0.9700
Investments_VAE_2000_6000_4_OCSVM_RBF_0,02_scale;0.9752
Investments_VAE_2000_6000_4_OCSVM_RBF_0,03_scale;0.9740
Investments_VAE_2000_6000_4_OCSVM_RBF_0,04_scale;0.9701
Investments_VAE_2000_6000_4_OCSVM_RBF_0,05_scale;0.9648
Investments_VAE_2000_6000_4_OCSVM_RBF_0,06_scale;0.9604
Investments_VAE_2000_6000_4_OCSVM_RBF_0,07_scale;0.9553
Investments_VAE_2000_6000_4_OCSVM_RBF_0,08_scale;0.9501
Investments_VAE_2000_6000_4_OCSVM_RBF_0,09_scale;0.9454
Investments_VAE_2000_6000_4_OCSVM_RBF_0,1_scale;0.9405
Investments_VAE_2000_6000_4_OCSVM_RBF_0,2_scale;0.8812
Investments_VAE_2000_6000_4_OCSVM_RBF_0,3_scale;0.8154
Investments_VAE_2000_6000_4_OCSVM_RBF_0,4_scale;0.7434
Investments_VAE_2000_6000_4_OCSVM_RBF_0,5_scale;0.6590
Investments_VAE_2000_6000_4_OCSVM_RBF_0,6_scale;0.5624
Investments_VAE_2000_6000_4_OCSVM_RBF_0,7_scale;0.4523
Investments_VAE_2000_6000_4_OCSVM_RBF_0,8_scale;0.3280
Investments_VAE_2000_6000_4_OCSVM_RBF_0,9_scale;0.1840
Investments_VAE_2000_6000_5_OCSVM_RBF_0,0001_scale;0.7015
Investments_VAE_2000_6000_5_OCSVM_RBF_0,0005_scale;0.7041
Investments_VAE_2000_6000_5_OCSVM_RBF_0,001_scale;0.7038
Investments_VAE_2000_6000_5_OCSVM_RBF_0,005_scale;0.9232
Investments_VAE_2000_6000_5_OCSVM_RBF_0,01_scale;0.9776
Investments_VAE_2000_6000_5_OCSVM_RBF_0,02_scale;0.9788
