Parameters;F1-Score
Culture_VAE_2000_6000_2_OCSVM_RBF_0,4_scale;0.7549
Culture_VAE_2000_6000_2_OCSVM_RBF_0,5_scale;0.6751
Culture_VAE_2000_6000_2_OCSVM_RBF_0,6_scale;0.5807
Culture_VAE_2000_6000_2_OCSVM_RBF_0,7_scale;0.4749
Culture_VAE_2000_6000_2_OCSVM_RBF_0,8_scale;0.3488
Culture_VAE_2000_6000_2_OCSVM_RBF_0,9_scale;0.1930
Culture_VAE_2000_6000_3_OCSVM_RBF_0,0001_scale;0.6847
Culture_VAE_2000_6000_3_OCSVM_RBF_0,0005_scale;0.6836
Culture_VAE_2000_6000_3_OCSVM_RBF_0,001_scale;0.6835
Culture_VAE_2000_6000_3_OCSVM_RBF_0,005_scale;0.7310
Culture_VAE_2000_6000_3_OCSVM_RBF_0,01_scale;0.7759
Culture_VAE_2000_6000_3_OCSVM_RBF_0,02_scale;0.8471
Culture_VAE_2000_6000_3_OCSVM_RBF_0,03_scale;0.8880
Culture_VAE_2000_6000_3_OCSVM_RBF_0,04_scale;0.9136
Culture_VAE_2000_6000_3_OCSVM_RBF_0,05_scale;0.9262
Culture_VAE_2000_6000_3_OCSVM_RBF_0,06_scale;0.9334
Culture_VAE_2000_6000_3_OCSVM_RBF_0,07_scale;0.9376
Culture_VAE_2000_6000_3_OCSVM_RBF_0,08_scale;0.9384
Culture_VAE_2000_6000_3_OCSVM_RBF_0,09_scale;0.9382
Culture_VAE_2000_6000_3_OCSVM_RBF_0,1_scale;0.9360
Culture_VAE_2000_6000_3_OCSVM_RBF_0,2_scale;0.8866
Culture_VAE_2000_6000_3_OCSVM_RBF_0,3_scale;0.8237
Culture_VAE_2000_6000_3_OCSVM_RBF_0,4_scale;0.7516
Culture_VAE_2000_6000_3_OCSVM_RBF_0,5_scale;0.6724
Culture_VAE_2000_6000_3_OCSVM_RBF_0,6_scale;0.5850
Culture_VAE_2000_6000_3_OCSVM_RBF_0,7_scale;0.4781
Culture_VAE_2000_6000_3_OCSVM_RBF_0,8_scale;0.3509
Culture_VAE_2000_6000_3_OCSVM_RBF_0,9_scale;0.1893
