Parameters;F1-Score
Welfare_VAE_2000_6000_7_OCSVM_RBF_0,05_scale;0.8915
Welfare_VAE_2000_6000_7_OCSVM_RBF_0,06_scale;0.8950
Welfare_VAE_2000_6000_7_OCSVM_RBF_0,07_scale;0.8968
Welfare_VAE_2000_6000_7_OCSVM_RBF_0,08_scale;0.8963
Welfare_VAE_2000_6000_7_OCSVM_RBF_0,09_scale;0.8956
Welfare_VAE_2000_6000_7_OCSVM_RBF_0,1_scale;0.8933
Welfare_VAE_2000_6000_7_OCSVM_RBF_0,2_scale;0.8491
Welfare_VAE_2000_6000_7_OCSVM_RBF_0,3_scale;0.7881
Welfare_VAE_2000_6000_7_OCSVM_RBF_0,4_scale;0.7196
Welfare_VAE_2000_6000_7_OCSVM_RBF_0,5_scale;0.6361
Welfare_VAE_2000_6000_7_OCSVM_RBF_0,6_scale;0.5441
Welfare_VAE_2000_6000_7_OCSVM_RBF_0,7_scale;0.4367
Welfare_VAE_2000_6000_7_OCSVM_RBF_0,8_scale;0.3113
Welfare_VAE_2000_6000_7_OCSVM_RBF_0,9_scale;0.1643
Welfare_VAE_2000_6000_3_OCSVM_RBF_0,0001_scale;0.6864
Welfare_VAE_2000_6000_3_OCSVM_RBF_0,0005_scale;0.6844
Welfare_VAE_2000_6000_3_OCSVM_RBF_0,001_scale;0.6840
Welfare_VAE_2000_6000_3_OCSVM_RBF_0,005_scale;0.7104
Welfare_VAE_2000_6000_3_OCSVM_RBF_0,01_scale;0.7518
Welfare_VAE_2000_6000_3_OCSVM_RBF_0,02_scale;0.8052
Welfare_VAE_2000_6000_3_OCSVM_RBF_0,03_scale;0.8377
Welfare_VAE_2000_6000_3_OCSVM_RBF_0,04_scale;0.8546
Welfare_VAE_2000_6000_3_OCSVM_RBF_0,05_scale;0.8706
Welfare_VAE_2000_6000_3_OCSVM_RBF_0,06_scale;0.8784
Welfare_VAE_2000_6000_3_OCSVM_RBF_0,07_scale;0.8831
Welfare_VAE_2000_6000_3_OCSVM_RBF_0,08_scale;0.8851
Welfare_VAE_2000_6000_3_OCSVM_RBF_0,09_scale;0.8854
Welfare_VAE_2000_6000_3_OCSVM_RBF_0,1_scale;0.8850
Welfare_VAE_2000_6000_3_OCSVM_RBF_0,2_scale;0.8525
Welfare_VAE_2000_6000_3_OCSVM_RBF_0,3_scale;0.7948
Welfare_VAE_2000_6000_3_OCSVM_RBF_0,4_scale;0.7261
Welfare_VAE_2000_6000_3_OCSVM_RBF_0,5_scale;0.6485
Welfare_VAE_2000_6000_3_OCSVM_RBF_0,6_scale;0.5535
Welfare_VAE_2000_6000_3_OCSVM_RBF_0,7_scale;0.4481
Welfare_VAE_2000_6000_3_OCSVM_RBF_0,8_scale;0.3287
Welfare_VAE_2000_6000_3_OCSVM_RBF_0,9_scale;0.1856
Welfare_VAE_2000_6000_4_OCSVM_RBF_0,0001_scale;0.6868
Welfare_VAE_2000_6000_4_OCSVM_RBF_0,0005_scale;0.6863
Welfare_VAE_2000_6000_4_OCSVM_RBF_0,001_scale;0.6864
Welfare_VAE_2000_6000_4_OCSVM_RBF_0,005_scale;0.7156
Welfare_VAE_2000_6000_4_OCSVM_RBF_0,01_scale;0.7685
Welfare_VAE_2000_6000_4_OCSVM_RBF_0,02_scale;0.8150
Welfare_VAE_2000_6000_4_OCSVM_RBF_0,03_scale;0.8477
Welfare_VAE_2000_6000_4_OCSVM_RBF_0,04_scale;0.8632
Welfare_VAE_2000_6000_4_OCSVM_RBF_0,05_scale;0.8745
Welfare_VAE_2000_6000_4_OCSVM_RBF_0,06_scale;0.8842
Welfare_VAE_2000_6000_4_OCSVM_RBF_0,07_scale;0.8886
Welfare_VAE_2000_6000_4_OCSVM_RBF_0,08_scale;0.8915
Welfare_VAE_2000_6000_4_OCSVM_RBF_0,09_scale;0.8915
Welfare_VAE_2000_6000_4_OCSVM_RBF_0,1_scale;0.8903
Welfare_VAE_2000_6000_4_OCSVM_RBF_0,2_scale;0.8531
Welfare_VAE_2000_6000_4_OCSVM_RBF_0,3_scale;0.7968
Welfare_VAE_2000_6000_4_OCSVM_RBF_0,4_scale;0.7303
Welfare_VAE_2000_6000_4_OCSVM_RBF_0,5_scale;0.6482
Welfare_VAE_2000_6000_4_OCSVM_RBF_0,6_scale;0.5561
Welfare_VAE_2000_6000_4_OCSVM_RBF_0,7_scale;0.4518
Welfare_VAE_2000_6000_4_OCSVM_RBF_0,8_scale;0.3240
Welfare_VAE_2000_6000_4_OCSVM_RBF_0,9_scale;0.1806
Welfare_VAE_2000_6000_1_OCSVM_RBF_0,0001_scale;0.6888
Welfare_VAE_2000_6000_1_OCSVM_RBF_0,0005_scale;0.6880
Welfare_VAE_2000_6000_1_OCSVM_RBF_0,001_scale;0.6879
Welfare_VAE_2000_6000_1_OCSVM_RBF_0,005_scale;0.6996
Welfare_VAE_2000_6000_1_OCSVM_RBF_0,01_scale;0.7152
Welfare_VAE_2000_6000_1_OCSVM_RBF_0,02_scale;0.7533
Welfare_VAE_2000_6000_1_OCSVM_RBF_0,03_scale;0.7719
Welfare_VAE_2000_6000_1_OCSVM_RBF_0,04_scale;0.7935
Welfare_VAE_2000_6000_1_OCSVM_RBF_0,05_scale;0.8046
Welfare_VAE_2000_6000_1_OCSVM_RBF_0,06_scale;0.8184
Welfare_VAE_2000_6000_1_OCSVM_RBF_0,07_scale;0.8242
Welfare_VAE_2000_6000_1_OCSVM_RBF_0,08_scale;0.8271
Welfare_VAE_2000_6000_1_OCSVM_RBF_0,09_scale;0.8318
Welfare_VAE_2000_6000_1_OCSVM_RBF_0,1_scale;0.8358
Welfare_VAE_2000_6000_1_OCSVM_RBF_0,2_scale;0.8197
Welfare_VAE_2000_6000_1_OCSVM_RBF_0,3_scale;0.7736
Welfare_VAE_2000_6000_1_OCSVM_RBF_0,4_scale;0.7172
Welfare_VAE_2000_6000_1_OCSVM_RBF_0,5_scale;0.6382
Welfare_VAE_2000_6000_1_OCSVM_RBF_0,6_scale;0.5470
Welfare_VAE_2000_6000_1_OCSVM_RBF_0,7_scale;0.4464
Welfare_VAE_2000_6000_1_OCSVM_RBF_0,8_scale;0.3217
Welfare_VAE_2000_6000_1_OCSVM_RBF_0,9_scale;0.1798
Welfare_VAE_2000_6000_2_OCSVM_RBF_0,0001_scale;0.6873
Welfare_VAE_2000_6000_2_OCSVM_RBF_0,0005_scale;0.6842
Welfare_VAE_2000_6000_2_OCSVM_RBF_0,001_scale;0.6845
Welfare_VAE_2000_6000_2_OCSVM_RBF_0,005_scale;0.6990
Welfare_VAE_2000_6000_2_OCSVM_RBF_0,01_scale;0.7354
Welfare_VAE_2000_6000_2_OCSVM_RBF_0,02_scale;0.7812
Welfare_VAE_2000_6000_2_OCSVM_RBF_0,03_scale;0.8112
Welfare_VAE_2000_6000_2_OCSVM_RBF_0,04_scale;0.8344
Welfare_VAE_2000_6000_2_OCSVM_RBF_0,05_scale;0.8512
Welfare_VAE_2000_6000_2_OCSVM_RBF_0,06_scale;0.8606
Welfare_VAE_2000_6000_2_OCSVM_RBF_0,07_scale;0.8690
Welfare_VAE_2000_6000_2_OCSVM_RBF_0,08_scale;0.8728
Welfare_VAE_2000_6000_2_OCSVM_RBF_0,09_scale;0.8759
Welfare_VAE_2000_6000_2_OCSVM_RBF_0,1_scale;0.8767
Welfare_VAE_2000_6000_2_OCSVM_RBF_0,2_scale;0.8481
Welfare_VAE_2000_6000_2_OCSVM_RBF_0,3_scale;0.7976
Welfare_VAE_2000_6000_2_OCSVM_RBF_0,4_scale;0.7310
Welfare_VAE_2000_6000_2_OCSVM_RBF_0,5_scale;0.6492
Welfare_VAE_2000_6000_2_OCSVM_RBF_0,6_scale;0.5589
Welfare_VAE_2000_6000_2_OCSVM_RBF_0,7_scale;0.4519
Welfare_VAE_2000_6000_2_OCSVM_RBF_0,8_scale;0.3259
Welfare_VAE_2000_6000_2_OCSVM_RBF_0,9_scale;0.1752
