Parameters;F1-Score
Suicide_VAE_2000_6000_4_OCSVM_RBF_0,08_scale;0.9499
Suicide_VAE_2000_6000_4_OCSVM_RBF_0,09_scale;0.9439
Suicide_VAE_2000_6000_4_OCSVM_RBF_0,1_scale;0.9372
Suicide_VAE_2000_6000_4_OCSVM_RBF_0,2_scale;0.8775
Suicide_VAE_2000_6000_4_OCSVM_RBF_0,3_scale;0.8095
Suicide_VAE_2000_6000_4_OCSVM_RBF_0,4_scale;0.7341
Suicide_VAE_2000_6000_4_OCSVM_RBF_0,5_scale;0.6496
Suicide_VAE_2000_6000_4_OCSVM_RBF_0,6_scale;0.5605
Suicide_VAE_2000_6000_4_OCSVM_RBF_0,7_scale;0.4510
Suicide_VAE_2000_6000_4_OCSVM_RBF_0,8_scale;0.3281
Suicide_VAE_2000_6000_4_OCSVM_RBF_0,9_scale;0.1851
Suicide_VAE_2000_6000_5_OCSVM_RBF_0,0001_scale;0.7585
Suicide_VAE_2000_6000_5_OCSVM_RBF_0,0005_scale;0.7580
Suicide_VAE_2000_6000_5_OCSVM_RBF_0,001_scale;0.7581
Suicide_VAE_2000_6000_5_OCSVM_RBF_0,005_scale;0.7935
Suicide_VAE_2000_6000_5_OCSVM_RBF_0,01_scale;0.8552
Suicide_VAE_2000_6000_5_OCSVM_RBF_0,02_scale;0.9316
Suicide_VAE_2000_6000_5_OCSVM_RBF_0,03_scale;0.9552
Suicide_VAE_2000_6000_5_OCSVM_RBF_0,04_scale;0.9656
Suicide_VAE_2000_6000_5_OCSVM_RBF_0,05_scale;0.9655
Suicide_VAE_2000_6000_5_OCSVM_RBF_0,06_scale;0.9634
Suicide_VAE_2000_6000_5_OCSVM_RBF_0,07_scale;0.9588
Suicide_VAE_2000_6000_5_OCSVM_RBF_0,08_scale;0.9538
Suicide_VAE_2000_6000_5_OCSVM_RBF_0,09_scale;0.9483
Suicide_VAE_2000_6000_5_OCSVM_RBF_0,1_scale;0.9426
Suicide_VAE_2000_6000_5_OCSVM_RBF_0,2_scale;0.8797
Suicide_VAE_2000_6000_5_OCSVM_RBF_0,3_scale;0.8104
Suicide_VAE_2000_6000_5_OCSVM_RBF_0,4_scale;0.7372
Suicide_VAE_2000_6000_5_OCSVM_RBF_0,5_scale;0.6509
Suicide_VAE_2000_6000_5_OCSVM_RBF_0,6_scale;0.5523
Suicide_VAE_2000_6000_5_OCSVM_RBF_0,7_scale;0.4436
