Parameters;F1-Score
Holiday_VAE_2000_6000_5_OCSVM_RBF_0,005_scale;0.7076
Holiday_VAE_2000_6000_5_OCSVM_RBF_0,01_scale;0.7666
Holiday_VAE_2000_6000_5_OCSVM_RBF_0,02_scale;0.8713
Holiday_VAE_2000_6000_5_OCSVM_RBF_0,03_scale;0.9182
Holiday_VAE_2000_6000_5_OCSVM_RBF_0,04_scale;0.9322
Holiday_VAE_2000_6000_5_OCSVM_RBF_0,05_scale;0.9345
Holiday_VAE_2000_6000_5_OCSVM_RBF_0,06_scale;0.9335
Holiday_VAE_2000_6000_5_OCSVM_RBF_0,07_scale;0.9315
Holiday_VAE_2000_6000_5_OCSVM_RBF_0,08_scale;0.9292
Holiday_VAE_2000_6000_5_OCSVM_RBF_0,09_scale;0.9259
Holiday_VAE_2000_6000_5_OCSVM_RBF_0,1_scale;0.9229
Holiday_VAE_2000_6000_5_OCSVM_RBF_0,2_scale;0.8756
Holiday_VAE_2000_6000_5_OCSVM_RBF_0,3_scale;0.8117
Holiday_VAE_2000_6000_5_OCSVM_RBF_0,4_scale;0.7358
Holiday_VAE_2000_6000_5_OCSVM_RBF_0,5_scale;0.6538
Holiday_VAE_2000_6000_5_OCSVM_RBF_0,6_scale;0.5586
Holiday_VAE_2000_6000_5_OCSVM_RBF_0,7_scale;0.4461
Holiday_VAE_2000_6000_5_OCSVM_RBF_0,8_scale;0.3257
Holiday_VAE_2000_6000_5_OCSVM_RBF_0,9_scale;0.1816
Holiday_VAE_2000_6000_1_OCSVM_RBF_0,0001_scale;0.6691
Holiday_VAE_2000_6000_1_OCSVM_RBF_0,0005_scale;0.6892
Holiday_VAE_2000_6000_1_OCSVM_RBF_0,001_scale;0.6876
Holiday_VAE_2000_6000_1_OCSVM_RBF_0,005_scale;0.6977
Holiday_VAE_2000_6000_1_OCSVM_RBF_0,01_scale;0.7371
Holiday_VAE_2000_6000_1_OCSVM_RBF_0,02_scale;0.8071
Holiday_VAE_2000_6000_1_OCSVM_RBF_0,03_scale;0.8395
Holiday_VAE_2000_6000_1_OCSVM_RBF_0,04_scale;0.8571
Holiday_VAE_2000_6000_1_OCSVM_RBF_0,05_scale;0.8684
Holiday_VAE_2000_6000_1_OCSVM_RBF_0,06_scale;0.8760
Holiday_VAE_2000_6000_1_OCSVM_RBF_0,07_scale;0.8818
Holiday_VAE_2000_6000_1_OCSVM_RBF_0,08_scale;0.8849
Holiday_VAE_2000_6000_1_OCSVM_RBF_0,09_scale;0.8874
Holiday_VAE_2000_6000_1_OCSVM_RBF_0,1_scale;0.8878
Holiday_VAE_2000_6000_1_OCSVM_RBF_0,2_scale;0.8702
Holiday_VAE_2000_6000_1_OCSVM_RBF_0,3_scale;0.8207
Holiday_VAE_2000_6000_1_OCSVM_RBF_0,4_scale;0.7592
Holiday_VAE_2000_6000_1_OCSVM_RBF_0,5_scale;0.6824
Holiday_VAE_2000_6000_1_OCSVM_RBF_0,6_scale;0.5868
Holiday_VAE_2000_6000_1_OCSVM_RBF_0,7_scale;0.4793
Holiday_VAE_2000_6000_1_OCSVM_RBF_0,8_scale;0.3480
Holiday_VAE_2000_6000_1_OCSVM_RBF_0,9_scale;0.1893
Holiday_VAE_2000_6000_2_OCSVM_RBF_0,0001_scale;0.7137
Holiday_VAE_2000_6000_2_OCSVM_RBF_0,0005_scale;0.6989
Holiday_VAE_2000_6000_2_OCSVM_RBF_0,001_scale;0.6942
Holiday_VAE_2000_6000_2_OCSVM_RBF_0,005_scale;0.6972
Holiday_VAE_2000_6000_2_OCSVM_RBF_0,01_scale;0.7388
Holiday_VAE_2000_6000_2_OCSVM_RBF_0,02_scale;0.8325
Holiday_VAE_2000_6000_2_OCSVM_RBF_0,03_scale;0.8962
Holiday_VAE_2000_6000_2_OCSVM_RBF_0,04_scale;0.9161
Holiday_VAE_2000_6000_2_OCSVM_RBF_0,05_scale;0.9212
Holiday_VAE_2000_6000_2_OCSVM_RBF_0,06_scale;0.9230
Holiday_VAE_2000_6000_2_OCSVM_RBF_0,07_scale;0.9231
Holiday_VAE_2000_6000_2_OCSVM_RBF_0,08_scale;0.9226
Holiday_VAE_2000_6000_2_OCSVM_RBF_0,09_scale;0.9212
Holiday_VAE_2000_6000_2_OCSVM_RBF_0,1_scale;0.9193
Holiday_VAE_2000_6000_2_OCSVM_RBF_0,2_scale;0.8757
Holiday_VAE_2000_6000_2_OCSVM_RBF_0,3_scale;0.8156
Holiday_VAE_2000_6000_2_OCSVM_RBF_0,4_scale;0.7446
Holiday_VAE_2000_6000_2_OCSVM_RBF_0,5_scale;0.6597
Holiday_VAE_2000_6000_2_OCSVM_RBF_0,6_scale;0.5668
Holiday_VAE_2000_6000_2_OCSVM_RBF_0,7_scale;0.4615
Holiday_VAE_2000_6000_2_OCSVM_RBF_0,8_scale;0.3423
Holiday_VAE_2000_6000_2_OCSVM_RBF_0,9_scale;0.1886
Holiday_VAE_2000_6000_3_OCSVM_RBF_0,0001_scale;0.6923
Holiday_VAE_2000_6000_3_OCSVM_RBF_0,0005_scale;0.6883
Holiday_VAE_2000_6000_3_OCSVM_RBF_0,001_scale;0.6883
Holiday_VAE_2000_6000_3_OCSVM_RBF_0,005_scale;0.6940
Holiday_VAE_2000_6000_3_OCSVM_RBF_0,01_scale;0.7594
Holiday_VAE_2000_6000_3_OCSVM_RBF_0,02_scale;0.8645
Holiday_VAE_2000_6000_3_OCSVM_RBF_0,03_scale;0.9104
Holiday_VAE_2000_6000_3_OCSVM_RBF_0,04_scale;0.9252
Holiday_VAE_2000_6000_3_OCSVM_RBF_0,05_scale;0.9268
Holiday_VAE_2000_6000_3_OCSVM_RBF_0,06_scale;0.9271
Holiday_VAE_2000_6000_3_OCSVM_RBF_0,07_scale;0.9267
Holiday_VAE_2000_6000_3_OCSVM_RBF_0,08_scale;0.9251
Holiday_VAE_2000_6000_3_OCSVM_RBF_0,09_scale;0.9225
Holiday_VAE_2000_6000_3_OCSVM_RBF_0,1_scale;0.9199
Holiday_VAE_2000_6000_3_OCSVM_RBF_0,2_scale;0.8748
Holiday_VAE_2000_6000_3_OCSVM_RBF_0,3_scale;0.8130
Holiday_VAE_2000_6000_3_OCSVM_RBF_0,4_scale;0.7383
Holiday_VAE_2000_6000_3_OCSVM_RBF_0,5_scale;0.6524
Holiday_VAE_2000_6000_3_OCSVM_RBF_0,6_scale;0.5577
Holiday_VAE_2000_6000_3_OCSVM_RBF_0,7_scale;0.4540
Holiday_VAE_2000_6000_3_OCSVM_RBF_0,8_scale;0.3261
Holiday_VAE_2000_6000_3_OCSVM_RBF_0,9_scale;0.1823
