Parameters;Precisao;Revocacao;F1-Score;Tempo
Hurricane_VAE_2000_6000_5_OCSVM_RBF_0,001_scale;0.5402;0.9981;0.7007;0.0047
Hurricane_VAE_2000_6000_5_OCSVM_RBF_0,005_scale;0.8669;0.9924;0.9249;0.0071
Hurricane_VAE_2000_6000_5_OCSVM_RBF_0,01_scale;0.9407;0.9812;0.9603;0.0112
Hurricane_VAE_2000_6000_5_OCSVM_RBF_0,02_scale;0.9768;0.9556;0.9660;0.0164
Hurricane_VAE_2000_6000_5_OCSVM_RBF_0,03_scale;0.9814;0.9420;0.9612;0.0221
Hurricane_VAE_2000_6000_5_OCSVM_RBF_0,04_scale;0.9848;0.9277;0.9554;0.0285
Hurricane_VAE_2000_6000_5_OCSVM_RBF_0,05_scale;0.9867;0.9148;0.9494;0.0339
Hurricane_VAE_2000_6000_5_OCSVM_RBF_0,06_scale;0.9879;0.9027;0.9434;0.0445
Hurricane_VAE_2000_6000_5_OCSVM_RBF_0,07_scale;0.9889;0.8906;0.9372;0.0488
Hurricane_VAE_2000_6000_5_OCSVM_RBF_0,08_scale;0.9900;0.8770;0.9301;0.0525
Hurricane_VAE_2000_6000_5_OCSVM_RBF_0,09_scale;0.9907;0.8662;0.9243;0.0579
Hurricane_VAE_2000_6000_5_OCSVM_RBF_0,1_scale;0.9913;0.8539;0.9175;0.0698
Hurricane_VAE_2000_6000_5_OCSVM_RBF_0,2_scale;0.9943;0.7455;0.8520;0.1254
Hurricane_VAE_2000_6000_5_OCSVM_RBF_0,3_scale;0.9956;0.6393;0.7786;0.1877
Hurricane_VAE_2000_6000_5_OCSVM_RBF_0,4_scale;0.9962;0.5445;0.7041;0.2431
Hurricane_VAE_2000_6000_5_OCSVM_RBF_0,5_scale;0.9967;0.4507;0.6206;0.2978
Hurricane_VAE_2000_6000_5_OCSVM_RBF_0,6_scale;0.9971;0.3639;0.5330;0.3694
Hurricane_VAE_2000_6000_5_OCSVM_RBF_0,7_scale;0.9967;0.2753;0.4313;0.4107
Hurricane_VAE_2000_6000_5_OCSVM_RBF_0,8_scale;0.9967;0.1874;0.3153;0.4527
Hurricane_VAE_2000_6000_5_OCSVM_RBF_0,9_scale;0.9963;0.0975;0.1775;0.4917
Hurricane_VAE_2000_6000_1_OCSVM_RBF_0,0001_scale;0.5813;0.9961;0.7315;0.0055
Hurricane_VAE_2000_6000_1_OCSVM_RBF_0,0005_scale;0.5829;0.9958;0.7326;0.0054
Hurricane_VAE_2000_6000_1_OCSVM_RBF_0,001_scale;0.5830;0.9959;0.7327;0.0056
Hurricane_VAE_2000_6000_1_OCSVM_RBF_0,005_scale;0.7845;0.9912;0.8738;0.0076
Hurricane_VAE_2000_6000_1_OCSVM_RBF_0,01_scale;0.8681;0.9830;0.9203;0.0102
Hurricane_VAE_2000_6000_1_OCSVM_RBF_0,02_scale;0.9247;0.9670;0.9444;0.0162
Hurricane_VAE_2000_6000_1_OCSVM_RBF_0,03_scale;0.9417;0.9536;0.9468;0.0222
Hurricane_VAE_2000_6000_1_OCSVM_RBF_0,04_scale;0.9503;0.9427;0.9459;0.0286
Hurricane_VAE_2000_6000_1_OCSVM_RBF_0,05_scale;0.9577;0.9318;0.9440;0.0344
Hurricane_VAE_2000_6000_1_OCSVM_RBF_0,06_scale;0.9632;0.9192;0.9401;0.0444
Hurricane_VAE_2000_6000_1_OCSVM_RBF_0,07_scale;0.9670;0.9084;0.9363;0.0488
Hurricane_VAE_2000_6000_1_OCSVM_RBF_0,08_scale;0.9707;0.8967;0.9317;0.0556
Hurricane_VAE_2000_6000_1_OCSVM_RBF_0,09_scale;0.9728;0.8852;0.9263;0.0582
Hurricane_VAE_2000_6000_1_OCSVM_RBF_0,1_scale;0.9744;0.8764;0.9222;0.0714
Hurricane_VAE_2000_6000_1_OCSVM_RBF_0,2_scale;0.9852;0.7731;0.8657;0.1266
Hurricane_VAE_2000_6000_1_OCSVM_RBF_0,3_scale;0.9891;0.6723;0.7997;0.1877
Hurricane_VAE_2000_6000_1_OCSVM_RBF_0,4_scale;0.9911;0.5783;0.7294;0.2444
Hurricane_VAE_2000_6000_1_OCSVM_RBF_0,5_scale;0.9923;0.4844;0.6499;0.2975
Hurricane_VAE_2000_6000_1_OCSVM_RBF_0,6_scale;0.9934;0.3890;0.5578;0.3565
Hurricane_VAE_2000_6000_1_OCSVM_RBF_0,7_scale;0.9942;0.2952;0.4540;0.4028
Hurricane_VAE_2000_6000_1_OCSVM_RBF_0,8_scale;0.9943;0.1991;0.3307;0.4460
Hurricane_VAE_2000_6000_1_OCSVM_RBF_0,9_scale;0.9944;0.0979;0.1777;0.4780
Hurricane_VAE_2000_6000_2_OCSVM_RBF_0,0001_scale;0.5751;0.9953;0.7248;0.0055
Hurricane_VAE_2000_6000_2_OCSVM_RBF_0,0005_scale;0.5779;0.9937;0.7267;0.0050
Hurricane_VAE_2000_6000_2_OCSVM_RBF_0,001_scale;0.5772;0.9948;0.7266;0.0053
Hurricane_VAE_2000_6000_2_OCSVM_RBF_0,005_scale;0.8325;0.9915;0.9049;0.0075
Hurricane_VAE_2000_6000_2_OCSVM_RBF_0,01_scale;0.9226;0.9806;0.9506;0.0101
Hurricane_VAE_2000_6000_2_OCSVM_RBF_0,02_scale;0.9601;0.9639;0.9619;0.0165
Hurricane_VAE_2000_6000_2_OCSVM_RBF_0,03_scale;0.9720;0.9503;0.9610;0.0220
Hurricane_VAE_2000_6000_2_OCSVM_RBF_0,04_scale;0.9764;0.9390;0.9573;0.0290
Hurricane_VAE_2000_6000_2_OCSVM_RBF_0,05_scale;0.9796;0.9273;0.9527;0.0341
Hurricane_VAE_2000_6000_2_OCSVM_RBF_0,06_scale;0.9823;0.9152;0.9475;0.0442
Hurricane_VAE_2000_6000_2_OCSVM_RBF_0,07_scale;0.9843;0.9053;0.9431;0.0500
Hurricane_VAE_2000_6000_2_OCSVM_RBF_0,08_scale;0.9859;0.8944;0.9379;0.0542
Hurricane_VAE_2000_6000_2_OCSVM_RBF_0,09_scale;0.9871;0.8821;0.9316;0.0595
Hurricane_VAE_2000_6000_2_OCSVM_RBF_0,1_scale;0.9876;0.8727;0.9266;0.0698
Hurricane_VAE_2000_6000_2_OCSVM_RBF_0,2_scale;0.9918;0.7658;0.8641;0.1240
Hurricane_VAE_2000_6000_2_OCSVM_RBF_0,3_scale;0.9932;0.6637;0.7954;0.1870
Hurricane_VAE_2000_6000_2_OCSVM_RBF_0,4_scale;0.9947;0.5663;0.7213;0.2396
Hurricane_VAE_2000_6000_2_OCSVM_RBF_0,5_scale;0.9952;0.4713;0.6391;0.2987
Hurricane_VAE_2000_6000_2_OCSVM_RBF_0,6_scale;0.9958;0.3758;0.5451;0.3582
Hurricane_VAE_2000_6000_2_OCSVM_RBF_0,7_scale;0.9957;0.2868;0.4449;0.4045
Hurricane_VAE_2000_6000_2_OCSVM_RBF_0,8_scale;0.9959;0.1955;0.3264;0.4459
Hurricane_VAE_2000_6000_2_OCSVM_RBF_0,9_scale;0.9973;0.1014;0.1837;0.4865
Hurricane_VAE_2000_6000_3_OCSVM_RBF_0,0001_scale;0.6249;0.9932;0.7608;0.0065
Hurricane_VAE_2000_6000_3_OCSVM_RBF_0,0005_scale;0.6167;0.9950;0.7548;0.0062
Hurricane_VAE_2000_6000_3_OCSVM_RBF_0,001_scale;0.6175;0.9952;0.7554;0.0062
